id,key,value,type
244077729,name,成都市,regular
244077729,is_in,四川省,regular
244077729,place,city,regular
244077729,capital,4,regular
244077729,DSG,ADM2,gns
244077729,UFI,-1900350,gns
244077729,UNI,10071832,gns
244077729,bn,চেংগ্ডু,name
244077729,ca,Txengdu,name
244077729,cs,Čcheng-tu,name
244077729,da,Chengdu,name
244077729,de,Chengdu,name
244077729,en,Chengdu,name
244077729,es,Chengdú,name
244077729,fr,Chengdu,name
244077729,he,צ'נגדו,name
244077729,hi,चॆंग्डु,name
244077729,ja,成都市,name
244077729,kn,ಚೆಂಗ್ಡು,name
244077729,lt,Čengdu,name
244077729,ru,Чэнду,name
244077729,sr,Ченгду,name
244077729,uk,Ченду,name
244077729,vi,Thành Đô,name
244077729,zh,成都市,name
244077729,ADM1,32,gns
244077729,wikidata,Q30002,regular
244077729,wikipedia,en:Chengdu,regular
244077729,population,17700000,regular
244077729,country,中華人民共和國,is_in
244077729,zh_pinyin,Chéngdū Shì,name
244077729,continent,Asia,is_in
244077729,iso_3166_2,CN-51,is_in
244077729,country_code,CN,is_in
244077910,china_class,countytown,regular
244077910,ADM1,32,gns
244077910,DSG,ADM3,gns
244077910,UFI,-1900777,gns
244077910,UNI,10071831,gns
244077910,continent,Asia,is_in
244077910,country,China,is_in
244077910,country_code,CN,is_in
244077910,name,崇州市,regular
244077910,de,Chongzhou,name
244077910,en,Chongzhou,name
244077910,eu,Chongzhou,name
244077910,fr,Chongzhou,name
244077910,ja,崇州市,name
244077910,ko,충저우 시,name
244077910,nl,Chongzhou,name
244077910,no,Chongzhou,name
244077910,ru,Чунчжоу,name
244077910,vi,Sùng Châu,name
244077910,zh,崇州市,name
244077910,zh_pinyin,Chóngzhōu Shi,name
244077910,place,city,regular
244077910,wikidata,Q1076195,regular
244077910,wikipedia,zh:崇州市,regular
244080433,ADM1,32,gns
244080433,DSG,ADM3,gns
244080433,UFI,-1907090,gns
244080433,UNI,10071804,gns
244080433,int_name,Guanghan,regular
244080433,continent,Asia,is_in
244080433,country,China,is_in
244080433,country_code,CN,is_in
244080433,name,广汉市,regular
244080433,de,Guanghan,name
244080433,en,Guanghan,name
244080433,fr,Guanghan,name
244080433,ja,広漢市,name
244080433,ru,Гуанхань,name
244080433,uk,Гуанхань,name
244080433,vi,Quảng Hán,name
244080433,zh,广汉市,name
244080433,zh_pinyin,Guǎnghàn Shi,name
244080433,place,city,regular
244080433,wikidata,Q607961,regular
244080433,wikipedia,en:Guanghan,regular
244080718,ADM1,32,gns
244080718,DSG,ADM3,gns
244080718,UFI,-1911849,gns
244080718,UNI,10071773,gns
244080718,continent,Asia,is_in
244080718,country,China,is_in
244080718,country_code,CN,is_in
244080718,name,简阳市,regular
244080718,de,Jianyang,name
244080718,en,Jianyang,name
244080718,fr,Jianyang,name
244080718,ja,簡陽市,name
244080718,ru,Цзяньян,name
244080718,vi,Giản Dương,name
244080718,zh,简阳市,name
244080718,zh_pinyin,Jiǎnyáng Shì,name
244080718,place,city,regular
244080718,wikidata,Q774508,regular
244080718,wikipedia,zh:简阳市,regular
244081559,name,郫县,regular
244081559,place,county,regular
244081559,DSG,ADM3,gns
244081559,UFI,-1921295,gns
244081559,UNI,10071642,gns
244081559,vi,Bì,name
244081559,zh,郫县,name
244081559,ADM1,32,gns
244081559,created_by,dkt_GNS-import-1,regular
244081559,zh_pinyin,Pi Xian,name
244081898,name,双流县,regular
244081898,place,county,regular
244081898,DSG,ADM3,gns
244081898,UFI,-1926337,gns
244081898,UNI,10071609,gns
244081898,vi,Song Lưu,name
244081898,zh,双流县,name
244081898,ADM1,32,gns
244081898,created_by,dkt_GNS-import-1,regular
244081898,zh_pinyin,Shuangliu Xian,name
244081917,name,温江区,regular
244081917,place,town,regular
244081917,DSG,ADM3,gns
244081917,UFI,-1930479,gns
244081917,UNI,10071599,gns
244081917,vi,Ôn Giang,name
244081917,zh,温江区,name
244081917,ADM1,32,gns
244081917,zh_pinyin,Wēnjiāng Qū,name
244082102,name,新都区,regular
244082102,place,suburb,regular
244082102,DSG,ADM3,gns
244082102,UFI,-1933409,gns
244082102,UNI,10072015,gns
244082102,vi,Tân Đô,name
244082102,zh,新都区,name
244082102,ADM1,32,gns
244082102,created_by,dkt_GNS-import-1,regular
244082102,zh_pinyin,Xindu Qu,name
244082390,ADM1,32,gns
244082390,DSG,ADM3,gns
244082390,UFI,-1933820,gns
244082390,UNI,10071588,gns
244082390,name,新津县,regular
244082390,en,Xinjin,name
244082390,vi,Tân Tân,name
244082390,zh,新津县,name
244082390,zh_pinyin,Xinjin Xian,name
244082390,place,city,regular
244083625,name,青白江区,regular
244083625,place,town,regular
244083625,DSG,ADM3,gns
244083625,UFI,10006623,gns
244083625,UNI,10072051,gns
244083625,en,Qingbaijiang,name
244083625,vi,Thanh Bạch Giang,name
244083625,zh,青白江区,name
244083625,ADM1,32,gns
244083625,zh_pinyin,Qingbaijiang Qu,name
244083651,ADM1,32,gns
244083651,DSG,ADM3,gns
244083651,UFI,10006616,gns
244083651,UNI,10072054,gns
244083651,name,成华区,regular
244083651,en,Chenghua,name
244083651,vi,Thành Hoa,name
244083651,zh,成华区,name
244083651,zh_pinyin,Chenghua Qu,name
244083651,place,suburb,regular
244083651,wikidata,Q30091,regular
244083651,wikipedia,zh:成华区,regular
244083652,name,龙泉驿区,regular
244083652,place,town,regular
244083652,DSG,ADM3,gns
244083652,UFI,10006617,gns
244083652,UNI,10072053,gns
244083652,vi,Long Tuyền Dịch,name
244083652,zh,龙泉驿区,name
244083652,ADM1,32,gns
244083652,zh_pinyin,Longquanyi Qu,name
244083653,name,青羊区,regular
244083653,place,suburb,regular
244083653,DSG,ADM3,gns
244083653,UFI,10006612,gns
244083653,UNI,10072056,gns
244083653,en,Qingyang,name
244083653,vi,Thanh Dương,name
244083653,zh,青羊区,name
244083653,ADM1,32,gns
244083653,zh_pinyin,Qingyang Qu,name
244083654,name,锦江区,regular
244083654,place,suburb,regular
244083654,DSG,ADM3,gns
244083654,UFI,10006614,gns
244083654,UNI,10072055,gns
244083654,en,Jinjiang,name
244083654,vi,Cẩm Giang,name
244083654,zh,锦江区,name
244083654,ADM1,32,gns
244083654,zh_pinyin,Jinjiang Qu,name
244083655,name,武侯区,regular
244083655,place,suburb,regular
244083655,DSG,ADM3,gns
244083655,UFI,10006609,gns
244083655,UNI,10072058,gns
244083655,en,Wuhou,name
244083655,vi,Vũ Hầu,name
244083655,zh,武侯区,name
244083655,ADM1,32,gns
244083655,zh_pinyin,Wuhou Qu,name
244083656,name,金牛区,regular
244083656,place,suburb,regular
244083656,DSG,ADM3,gns
244083656,UFI,10006610,gns
244083656,UNI,10072057,gns
244083656,en,Jinniu,name
244083656,vi,Kim Ngưu,name
244083656,zh,金牛区,name
244083656,ADM1,32,gns
244083656,zh_pinyin,Jinniu Qu,name
265409436,created_by,JOSM,regular
265409437,created_by,JOSM,regular
265409438,created_by,JOSM,regular
265409439,created_by,JOSM,regular
265409440,created_by,JOSM,regular
265409614,created_by,JOSM,regular
265409615,created_by,JOSM,regular
265409616,created_by,JOSM,regular
265409617,created_by,JOSM,regular
265409618,created_by,JOSM,regular
265409619,created_by,JOSM,regular
265409620,created_by,JOSM,regular
265409621,created_by,JOSM,regular
265409622,created_by,JOSM,regular
265409623,created_by,JOSM,regular
265409624,created_by,JOSM,regular
265409625,created_by,JOSM,regular
265409626,created_by,JOSM,regular
265409627,created_by,JOSM,regular
265409629,created_by,JOSM,regular
265409638,created_by,JOSM,regular
265409639,created_by,JOSM,regular
265409640,created_by,JOSM,regular
265409641,created_by,JOSM,regular
265409642,created_by,JOSM,regular
265409643,created_by,JOSM,regular
265409644,created_by,JOSM,regular
265409645,created_by,JOSM,regular
265409646,created_by,JOSM,regular
265409647,created_by,JOSM,regular
265409648,created_by,JOSM,regular
265409649,created_by,JOSM,regular
265409650,created_by,JOSM,regular
265409651,created_by,JOSM,regular
265409652,created_by,JOSM,regular
265409653,created_by,JOSM,regular
265409654,created_by,JOSM,regular
265409655,created_by,JOSM,regular
265409656,created_by,JOSM,regular
265409657,created_by,JOSM,regular
265409658,created_by,JOSM,regular
265409659,created_by,JOSM,regular
265409660,created_by,JOSM,regular
265409661,created_by,JOSM,regular
265409662,created_by,JOSM,regular
265409663,created_by,JOSM,regular
265409664,created_by,JOSM,regular
265409665,created_by,JOSM,regular
265409666,created_by,JOSM,regular
265409667,created_by,JOSM,regular
265409668,created_by,JOSM,regular
265409669,created_by,JOSM,regular
265409670,created_by,JOSM,regular
265409671,created_by,JOSM,regular
265409672,created_by,JOSM,regular
265409673,created_by,JOSM,regular
265409674,created_by,JOSM,regular
265409675,created_by,JOSM,regular
265409676,created_by,JOSM,regular
265409677,created_by,JOSM,regular
265409678,created_by,JOSM,regular
265409679,created_by,JOSM,regular
265409680,created_by,JOSM,regular
265409681,created_by,JOSM,regular
265409682,created_by,JOSM,regular
265409683,created_by,JOSM,regular
265409684,created_by,JOSM,regular
265409685,created_by,JOSM,regular
265409686,created_by,JOSM,regular
