id,key,value,type
24425141,ele,472.0,regular
24425141,source,SWBD,regular
24425141,SWBD_wb,35,regular
24425141,natural,water,regular
24425141,SWBD_cell,120283,regular
24425141,SWBD_facc_code,bh080,regular
24425206,ele,486.0,regular
24425206,source,SWBD,regular
24425206,SWBD_wb,159,regular
24425206,natural,water,regular
24425206,SWBD_cell,120283,regular
24425206,created_by,JOSM,regular
24425206,SWBD_facc_code,bh080,regular
24425248,ele,554.0,regular
24425248,name,Baoshikou Reservoir,regular
24425248,natural,water,regular
24425248,source,SWBD,regular
24425248,SWBD_facc_code,bh080,regular
24425495,ele,491.0,regular
24425495,source,SWBD,regular
24425495,SWBD_wb,146,regular
24425495,natural,water,regular
24425495,SWBD_cell,120283,regular
24425495,created_by,JOSM,regular
24425495,SWBD_facc_code,bh080,regular
24425629,ele,572.0,regular
24425629,source,SWBD,regular
24425629,SWBD_wb,154,regular
24425629,natural,water,regular
24425629,SWBD_cell,120283,regular
24425629,SWBD_facc_code,bh080,regular
24425885,ele,500.0,regular
24425885,source,SWBD,regular
24425885,natural,water,regular
24425885,created_by,JOSM,regular
24425885,SWBD_facc_code,bh080,regular
24426172,ele,518.0,regular
24426172,source,SWBD,regular
24426172,SWBD_wb,157,regular
24426172,natural,water,regular
24426172,SWBD_cell,120283,regular
24426172,created_by,JOSM,regular
24426172,SWBD_facc_code,bh080,regular
24426190,ele,495.0,regular
24426190,source,SWBD,regular
24426190,SWBD_wb,144,regular
24426190,natural,water,regular
24426190,SWBD_cell,120283,regular
24426190,created_by,JOSM,regular
24426190,SWBD_facc_code,bh080,regular
24426635,ele,450.0,regular
24426635,source,SWBD,regular
24426635,natural,water,regular
24426635,created_by,JOSM,regular
24426635,SWBD_facc_code,bh080,regular
24548970,highway,secondary,regular
25373582,layer,1,regular
25373582,bridge,yes,regular
25373582,oneway,yes,regular
25373582,highway,primary_link,regular
25373582,motorroad,yes,regular
25373585,alt_name,Er Huan Lu,regular
25373585,foot,no,regular
25373585,highway,primary,regular
25373585,int_name,2nd ring,regular
25373585,lanes,2,regular
25373585,layer,1,regular
25373585,name,二环路,regular
25373585,en,2nd Ring Road,name
25373585,zh,二环路,name
25373585,oneway,no,regular
25373802,ref,02L/20R,regular
25373802,source,Bing,regular
25373802,aeroway,runway,regular
25373942,highway,trunk,regular
25373942,lanes,2,regular
25373942,oneway,yes,regular
25373942,ref,G213;G317,regular
25373942,source,Bing,regular
25983383,aeroway,runway,regular
25983390,aeroway,taxiway,regular
26326397,name,人民中路 Renmin Road,regular
26326397,lanes,3,regular
26326397,oneway,yes,regular
26326397,highway,primary,regular
26326397,en,Central People's Road,name
26326397,zh,人民中路,name
26326397,zh_py,Renminzhong Lu,name
26347792,name,人民北路,regular
26347792,lanes,2,regular
26347792,oneway,yes,regular
26347792,highway,primary,regular
26347792,en,North People's Road,name
26347792,zh,人民北路,name
26347792,zh_py,Renminbei Lu,name
26347795,name,万福桥,regular
26347795,layer,1,regular
26347795,bridge,yes,regular
26347795,highway,primary,regular
26347795,en,Wanfu Bridge,name
26347976,name,青城路,regular
26347976,lanes,2,regular
26347976,oneway,yes,regular
26347976,highway,secondary,regular
26347982,name,成灌高速,regular
26347982,oneway,yes,regular
26347982,highway,primary,regular
26347982,en,Chengguan Expressway,name
26348002,bridge,yes,regular
26348002,highway,primary,regular
26348002,layer,1,regular
26348002,oneway,yes,regular
26348002,imagery,Esri World Imagery,source
26390814,source,GPS,regular
26390814,highway,tertiary,regular
28620362,name,高朋大道,regular
28620362,oneway,no,regular
28620362,highway,tertiary,regular
28620365,ref,中环路,regular
28620365,name,中环路科园大道段,regular
28620365,highway,primary,regular
28620365,alt_name,2.5环路,regular
28620366,name,盐道街,regular
28620366,source,GPS,regular
28620366,highway,unclassified,regular
28620366,en,Yandao Street,name
28620958,name,一环路南二段,regular
28620958,highway,primary,regular
28620958,en,1 Huanlu Nan 2 Duan,name
28620959,name,Shuinianhe Road,regular
28620959,layer,1,regular
28620959,bridge,yes,regular
28620959,oneway,yes,regular
28620959,highway,primary,regular
28620959,en,Shuinianhe Road,name
28620960,name,东城根南街 - Dongchenggen Street South,regular
28620960,lanes,3,regular
28620960,oneway,yes,regular
28620960,highway,secondary,regular
28620960,en,Dongchenggen Street South,name
28620960,zh,东城根南街,name
28620961,name,武侯祠横街,regular
28620961,highway,tertiary,regular
28620963,highway,unclassified,regular
28620966,name,锦里东路,regular
28620966,oneway,yes,regular
28620966,highway,secondary,regular
28620967,name,大石南路,regular
28620967,highway,unclassified,regular
28620967,en,Da Shi Nan Lu,name
28620968,name,三环路,regular
28620968,lanes,3,regular
28620968,layer,1,regular
28620968,bridge,yes,regular
28620968,oneway,yes,regular
28620968,highway,trunk,regular
28620970,highway,tertiary,regular
28620970,name,广福路,regular
28620970,en,Guang Fu Lu,name
28620971,highway,tertiary,regular
28620972,highway,unclassified,regular
28620973,highway,tertiary,regular
28620974,name,新光华街,regular
28620974,oneway,yes,regular
28620974,highway,primary,regular
28620974,en,New Guanghua Street,name
28620974,zh,新光华街,name
28620975,name,顺城大街,regular
28620975,lanes,4,regular
28620975,oneway,yes,regular
28620975,bicycle,yes,regular
28620975,highway,primary,regular
28620975,en,Shuncheng St,name
28620975,int_name,Shuncheng St,regular
28620976,name,西玉龙街,regular
28620976,highway,secondary,regular
28620976,en,Yulong Street West,name
28621527,name,高升桥东路,regular
28621527,highway,unclassified,regular
28621528,layer,1,regular
28621528,bridge,yes,regular
28621528,oneway,yes,regular
28621528,highway,trunk_link,regular
28621529,highway,unclassified,regular
28621530,name,锦兴路,regular
28621530,oneway,yes,regular
28621530,highway,tertiary,regular
28621530,en,Jinxing Road,name
28621530,zh,锦兴路,name
28621531,name,上东大街段,regular
28621531,oneway,yes,regular
28621531,highway,primary,regular
28621531,en,Upper Dongdajie Street Section,name
28621532,name,玉林南路,regular
28621532,highway,secondary,regular
28621532,en,Yulin South Road,name
